IPDB_ID	Genus_species_locus	ABGD_Genus_species_locus
Acanthaster_planciPac_CR_MV-34	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_SSU3577.03	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_LHI16	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_HW35	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_S1_12	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_HW37	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_YAP14	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_SSU3577.14	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_P1_20	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_Rib19	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_GV3_50	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_BIA1312.19	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_SX1_10	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_T2-235	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_HW16	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_HAL1571.01	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_FLO2126.10	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_HW18	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_HS10	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_MAI14	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_ASC33	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_Pohnpei9	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_H2_06	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_B2-330	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_B1-285	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_HAL1481.02	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_SY1_04	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_OAH17	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_H2_08	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_MAL35	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_NOL3310.08	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_KAU23	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_TEL3255.21	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_V1_03	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_HS13	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
